icao_code,name,type,iso_country,iso_region,municipality,latitude_deg,longitude_deg
LGKY,Kalymnos Airport,small_airport,GR,GR-L,Kalymnos Island,36.9632987976,26.9405994415
LGKZ,Kozani National Airport Filippos,medium_airport,GR,GR-C,Kozani,40.286098,21.840799
LGLE,Leros Airport,small_airport,GR,GR-L,Leros Island,37.184898,26.800301
LGLM,Limnos Airport,small_airport,GR,GR-K,Limnos Island,39.917098999,25.236299514799995
LGMK,Mykonos Island National Airport,medium_airport,GR,GR-L,Mykonos,37.435101,25.348101
LGML,Milos Airport,small_airport,GR,GR-L,Milos Island,36.696899,24.4769
LGMT,Mytilene International Airport,medium_airport,GR,GR-K,Mytilene,39.057406,26.598629
LGNX,Naxos Island National Airport,small_airport,GR,GR-L,Naxos,37.0811,25.368099
LGPA,Paros National Airport,small_airport,GR,GR-L,Paros,37.020495,25.113195
LGPL,Astypalaia Airport,small_airport,GR,GR-L,Astypalaia Island,36.5798988342,26.3757991791
LGPZ,Aktion National Airport,medium_airport,GR,GR-D,Preveza,38.925499,20.765301
LGRP,"Rhodes International Airport ""Diagoras""",large_airport,GR,GR-L,Rhodes,36.405399,28.086201
LGRX,Patras Araxos Agamemnon Airport,medium_airport,GR,GR-G,Patras,38.1511,21.4256
LGSA,Chania International Airport,large_airport,GR,GR-M,Souda,35.531207,24.150673
LGSK,Skiathos Island National Airport,medium_airport,GR,GR-E,Skiathos,39.177101,23.5037
LGSM,Samos Airport,medium_airport,GR,GR-K,Samos Island,37.689999,26.911699
LGSO,Syros Airport,small_airport,GR,GR-L,Syros Island,37.4227981567,24.9508991241
LGSR,Santorini International Airport,large_airport,GR,GR-L,Santorini Island,36.400045,25.478638
LGST,Sitia Airport,medium_airport,GR,GR-M,Crete Island,35.21609878540039,26.101299285888672
LGSY,Skiros Airport,small_airport,GR,GR-H,Skiros Island,38.9676017761,24.4871997833
LGTS,Thessaloniki Macedonia International Airport,large_airport,GR,GR-B,Thessaloniki,40.51928,22.970009
LGZA,Zakynthos International Airport Dionysios Solomos,medium_airport,GR,GR-F,Zakynthos,37.7509,20.8843
LHBP,Budapest Liszt Ferenc International Airport,large_airport,HU,HU-BU,Budapest,47.43018,19.262393
LHDC,Debrecen International Airport,large_airport,HU,HU-HB,Debrecen,47.489469,21.616278
LHHH,Hármashatárhegy Glider Field,small_airport,HU,HU-BU,Budapest,47.551503,18.976386
LHPP,Pécs-Pogány International Airport,large_airport,HU,HU-BA,Pécs,45.988891,18.242044
LHPR,Győr-Pér Airport,medium_airport,HU,HU-GS,Győr,47.628436,17.804718
LHSM,Hévíz–Balaton Airport,medium_airport,HU,HU-ZA,Sármellék,46.686391,17.159084
LIAA,"Aviosuperficie ""Alvaro Leonardi""",small_airport,IT,IT-55,Terni,42.573333,12.584444
LIAP,L'Aquila–Preturo Airport,small_airport,IT,IT-65,L'Aquila,42.379902,13.3092
LIAU,Capua Airport,small_airport,IT,IT-72,Capua,41.116001,14.178
LIBC,Crotone Sant'Anna Pythagoras Airport,medium_airport,IT,IT-78,Isola di Capo Rizzuto (KR),38.9972,17.0802
LIBD,Bari Karol Wojtyła International Airport,large_airport,IT,IT-75,Bari,41.138901,16.760599
LIBF,Foggia Gino Lisa Airport,medium_airport,IT,IT-75,Foggia (FG),41.433596,15.534566
LIBG,Taranto-Grottaglie Marcello Arlotta Airport,medium_airport,IT,IT-75,Grottaglie,40.517502,17.4032
LIBP,Abruzzo Airport,large_airport,IT,IT-65,Pescara,42.431079,14.182981
LIBR,Brindisi Airport,large_airport,IT,IT-75,Brindisi,40.6576,17.947001
