id1,id2,weight,distance
"Amsterdam, NL","Hannover, DE",40,334.36
"Amsterdam, NL","Gdańsk, PL",33,936.62
"Amsterdam, NL","Nantes, FR",40,733.2700000000001
"Amsterdam, NL","Prague, CZ",92,705.0
"Amsterdam, NL","Budapest, HU",44,1156.58
"Amsterdam, NL","Berlin, DE",80,593.4
"Amsterdam, NL","Bologna, IT",39,988.46
"Amsterdam, NL","Palma de Mallorca, ES",15,1426.97
"Amsterdam, NL","Mönchengladbach, DE",3,169.46
"Amsterdam, NL","Zgornji Brnik, SI",14,974.43
"Amsterdam, NL","Firenze (FI), IT",30,1058.4
"Amsterdam, NL","Faro, PT",24,1969.82
"Amsterdam, NL","Spata-Artemida, GR",51,2181.75
"Amsterdam, NL","Linköping, SE",23,965.29
"Amsterdam, NL","Ibiza (Eivissa), ES",12,1516.6600000000003
"Amsterdam, NL","Orio al Serio (BG), IT",1,821.24
"Amsterdam, NL","Thessaloniki, GR",12,1904.79
"Amsterdam, NL","Tarbes/Lourdes/Pyrénées, FR",2,1075.44
"Amsterdam, NL","Innsbruck, AT",35,733.08
"Amsterdam, NL","Wrocław, PL",19,844.6699999999998
"Amsterdam, NL","Genova (GE), IT",14,927.9
"Amsterdam, NL","Groningen, NL",5,151.81
"Antalya, TR","Frankfurt am Main, DE",10,2298.23
"Antalya, TR","Istanbul, TR",323,488.2
"Antalya, TR","Nuremberg, DE",7,2114.06
"Antalya, TR","Hannover, DE",15,2387.12
"Antalya, TR","Düsseldorf, DE",29,2478.71
"Antalya, TR","Paris, FR",6,2673.52
"Antalya, TR","Billund, DK",3,2650.92
"Antalya, TR","Stockholm, SE",3,2677.16
"Antalya, TR","Tymbou (Kirklar), CY",47,311.30999999999995
"Antalya, TR","Dresden, DE",3,2077.9
"Antalya, TR","Hamburg, DE",10,2454.52
"Antalya, TR","Munich, DE",14,2000.9299999999998
"Antalya, TR","Stuttgart, DE",15,2182.41
"Antalya, TR","Vienna, AT",13,1701.9299999999998
"Antalya, TR","Berlin, DE",12,2185.92
"Antalya, TR","Köln (Cologne), DE",14,2432.08
"Antalya, TR","Copenhagen, DK",8,2489.08
"Antwerp, BE","Valencia, ES",1,1356.52
"Antwerp, BE","Hamburg, DE",1,455.31
"Antwerp, BE","Stuttgart, DE",1,439.51
"Antwerp, BE","Málaga, ES",8,1763.33
"Arvidsjaur, SE","Stuttgart, DE",5,1969.08
"Arvidsjaur, SE","Köln (Cologne), DE",3,1777.6
"Arvidsjaur, SE","Hannover, DE",2,1555.66
"Arvidsjaur, SE","Munich, DE",6,1966.4399999999998
"Augsburg, DE","Marignane, Bouches-du-Rhône, FR",15,708.91
"Augsburg, DE","Maribor, SI",1,417.72
"Augsburg, DE","Hamburg, DE",3,577.9
"Augsburg, DE","Toussus-le-Noble, Yvelines, FR",3,649.77
"Augsburg, DE","Bucharest, RO",2,1236.9
"Augsburg, DE","Berlin, DE",1,474.05
"Augsburg, DE","Schkeuditz, DE",1,345.83
"Balice, PL","Porto, PT",10,2401.17
"Balice, PL","Málaga, ES",18,2445.63
"Balice, PL","Dublin, IE",26,1820.41
"Balice, PL","Beauvais, FR",16,1268.1600000000003
"Balice, PL","Valletta, MT",25,1639.0
"Balice, PL","Colombier-Saugnieu, Rhône, FR",4,1194.89
"Balice, PL","Larnaca, CY",6,2028.9000000000003
"Balice, PL","Vienna, AT",29,320.34999999999997
"Balice, PL","Valencia, ES",10,1975.4299999999998
"Balice, PL","Orio al Serio (BG), IT",31,896.0899999999999
"Balice, PL","Luxembourg, LU",4,973.03
"Balice, PL","Pescara, IT",3,952.47
"Balice, PL","Bologna, IT",12,887.86
"Balice, PL","Warsaw, PL",91,251.13000000000002
"Balice, PL","Copenhagen, DK",32,779.35
"Balice, PL","Helsinki (Vantaa), FI",11,1184.29
"Balice, PL","Memmingen, DE",10,733.11
"Balice, PL","Capannori (LU), IT",1,984.34
"Balice, PL","Jasionka, PL",2,159.78
"Balice, PL","Munich, DE",23,611.42
"Balice, PL","Göteborg, SE",12,987.06
"Balice, PL","Frankfurt am Main, DE",52,800.8
"Balice, PL","Paris, FR",45,1261.5099999999998
"Balice, PL","Istanbul, TR",20,1229.95
"Balice, PL","Szymany, PL",4,386.74
"Balice, PL","Barcelona, ES",40,1679.8399999999997
"Balice, PL","Palermo, IT",6,1425.6500000000003
"Balice, PL","Eindhoven, NL",20,1023.22
"Balice, PL","Ronchi dei Legionari/Trieste, IT",6,666.15
"Balice, PL","Vilnius, LT",8,629.09
"Balice, PL","Lamezia Terme (CZ), IT",5,1273.14
"Balice, PL","Zaventem, BE",5,1084.32
"Balice, PL","Rome, IT",45,1080.87
"Balice, PL","Paphos, CY",5,1994.94
"Balice, PL","Thessaloniki, GR",9,1091.38
"Balice, PL","Ferno (VA), IT",18,960.3999999999999
"Balice, PL","Bucharest, RO",14,778.16
"Balice, PL","Düsseldorf, DE",3,925.75
"Balice, PL","Charleroi, BE",18,1088.1099999999997
"Balice, PL","Madrid, ES",14,2113.61
"Balice, PL","Shannon, IE",14,1999.68
"Balice, PL","Stockholm, SE",18,1054.45
"Balice, PL","Marignane, Bouches-du-Rhône, FR",4,1329.58
"Balice, PL","Gdańsk, PL",4,486.47
"Barcelona, ES","Napoli, IT",13,1023.61
"Barcelona, ES","Caselle Torinese (TO), IT",22,625.83
"Barcelona, ES","Bordeaux, FR",25,453.49
"Barcelona, ES","Paris, FR",286,890.3400000000001
"Barcelona, ES","Orio al Serio (BG), IT",44,783.84
"Barcelona, ES","Vienna, AT",53,1369.69
"Barcelona, ES","Munich, DE",102,1094.6299999999999
"Barcelona, ES","Porto, PT",78,898.6600000000001
"Barcelona, ES","Dublin, IE",79,1485.69
"Barcelona, ES","Seville, ES",122,809.28
"Barcelona, ES","Köln (Cologne), DE",40,1132.75
"Barcelona, ES","Palma de Mallorca, ES",267,201.97
"Barcelona, ES","Istanbul, TR",75,2240.68
"Barcelona, ES","Madrid, ES",261,493.49
"Barcelona, ES","Ibiza (Eivissa), ES",116,276.15
"Barcelona, ES","Copenhagen, DK",58,1768.57
"Barcelona, ES","Mahón (Maó), ES",32,241.05000000000004
"Barcelona, ES","Zaventem, BE",50,1083.78
"Barcelona, ES","Rome, IT",175,862.19
"Barcelona, ES","Braunschweig, DE",1,1382.87
"Barcelona, ES","Ferno (VA), IT",177,720.79
"Barcelona, ES","Frankfurt am Main, DE",80,1092.54
"Barcelona, ES","Spata-Artemida, GR",39,1904.51
"Barcelona, ES","Bucharest, RO",31,1981.7699999999998
"Barcelona, ES","Schkeuditz, DE",27,1366.29
"Barcelona, ES","Málaga, ES",113,765.97
"Barcelona, ES","Bologna, IT",45,831.32
"Barcelona, ES","Strasbourg, FR",8,915.53
"Barcelona, ES","Riga, LV",12,2341.7699999999995
"Barcelona, ES","Stuttgart, DE",33,994.6600000000001
"Barcelona, ES","Budapest, HU",54,1514.6
"Barcelona, ES","Düsseldorf, DE",38,1167.41
"Barcelona, ES","Berlin, DE",73,1502.44
"Barcelona, ES","Prague, CZ",45,1358.0299999999997
"Barcelona, ES","Nowy Dwór Mazowiecki, PL",22,1869.31
"Barcelona, ES","Ronchi dei Legionari/Trieste, IT",8,1045.77
"Barcelona, ES","Valencia, ES",22,295.6
"Barcelona, ES","Bratislava, SK",24,1415.05
"Barcelona, ES","Warsaw, PL",42,1871.0999999999997
"Barcelona, ES","Luxembourg, LU",26,980.33
"Barcelona, ES","Valletta, MT",25,1235.97
"Barcelona, ES","Santiago de Compostela, ES",37,883.25
"Barcelona, ES","Charleroi, BE",20,1035.47
"Barcelona, ES","Hamburg, DE",23,1485.59
"Barcelona, ES","Lisbon, PT",115,994.0
"Barcelona, ES","Melilla, ES",2,800.13
"Barcelona, ES","Helsinki (Vantaa), FI",13,2628.15
"Barcelona, ES","Beauvais, FR",11,907.05
"Barcelona, ES","Segrate (MI), IT",21,741.9700000000001
"Barcelona, ES","Capannori (LU), IT",8,750.3
"Barcelona, ES","Cork, IE",5,1420.74
"Barcelona, ES","Colombier-Saugnieu, Rhône, FR",28,549.0
"Barcelona, ES","Nantes, FR",39,714.2400000000001
"Barcelona, ES","Marignane, Bouches-du-Rhône, FR",17,350.62000000000006
"Barcelona, ES","Larnaca, CY",7,2834.7100000000005
"Barcelona, ES","Culleredo, ES",36,887.68
"Barcelona, ES","Stockholm, SE",21,2301.82
"Barcelona, ES","Caselle (VR), IT",9,844.8399999999999
"Barcelona, ES","Falconara Marittima (AN), IT",3,960.08
"Barcelona, ES","Tallinn, EE",8,2554.7
"Barcelona, ES","Salzburg, AT",4,1125.71
"Barcelona, ES","Gdańsk, PL",6,1890.94
"Barcelona, ES","Vilnius, LT",13,2258.08
"Barcelona, ES","Rotterdam, NL",14,1198.75
