nut3_code,pps,pps_per_inhabitant
EL,288273.84,27400.0
EL3,140638.87,38200.0
EL30,140638.87,38200.0
EL4,28316.59,23700.0
EL41,3800.57,16800.0
EL42,9567.04,27900.0
EL43,14948.98,23800.0
EL5,61289.93,20400.0
EL51,10457.15,17800.0
EL52,40065.0,21900.0
EL53,4959.41,19200.0
EL54,5808.37,17800.0
EL6,58028.45,21900.0
EL61,14709.11,21000.0
EL62,5054.2,25300.0
EL63,12448.26,19500.0
EL64,13051.86,23900.0
EL65,12765.03,22700.0
ES,1779016.86,36400.0
ES1,144559.39,33500.0
ES11,91319.99,33700.0
ES12,33488.92,33100.0
ES13,19750.48,33400.0
ES2,199711.67,43500.0
ES21,102225.1,45800.0
ES22,29702.87,43600.0
ES23,12399.1,38100.0
ES24,55384.6,40900.0
ES3,352821.18,49900.0
ES30,352821.18,49900.0
ES4,174222.76,31300.0
ES41,82563.89,34500.0
ES42,61995.95,29300.0
ES43,29662.93,28100.0
ES5,552653.47,37700.0
ES51,337322.72,41800.0
ES52,165460.63,30800.0
ES53,49870.12,40300.0
ES6,288551.48,27700.0
ES61,236958.73,27400.0
ES62,47409.8,30100.0
ES63,2145.98,25700.0
ES64,2036.97,23600.0
ES7,64880.06,28900.0
ES70,64880.06,28900.0
ESZ,1616.85,
ESZZ,1616.85,
EU27_2020,18016189.9,39900.0
FI,229603.84,40800.0
FI1,228121.64,40800.0
FI19,51727.86,37000.0
FI196,8122.23,38400.0
FI198,9095.29,33200.0
FI199,6412.88,33700.0
FI19A,7547.35,42400.0
FI19B,20550.11,37900.0
FI1B,90259.65,51000.0
FI1B1,90259.65,51000.0
FI1C,41092.5,35700.0
FI1C1,18984.72,38500.0
FI1C2,5827.89,34400.0
FI1C5,4184.0,33400.0
FI1C6,6387.86,31200.0
FI1C7,5708.03,36100.0
FI1D,45041.63,35400.0
FI1D5,2473.87,36500.0
FI1D7,6865.0,39000.0
FI1D8,2281.56,32600.0
FI1D9,15224.36,36400.0
FI1DA,4157.57,32100.0
FI1DB,8791.99,35400.0
FI1DC,5247.28,32300.0
FI2,1358.5,44400.0
FI20,1358.5,44400.0
FI200,1358.5,44400.0
FIZ,123.7,
FIZZ,123.7,
FIZZZ,123.7,
FR,2688376.88,39200.0
FR1,797013.31,64000.0
FR10,797013.31,64000.0
FR101,257740.86,123100.0
FR102,50090.97,34100.0
FR103,63768.28,43200.0
FR104,58187.4,43600.0
FR105,182493.46,110200.0
FR106,75641.37,44300.0
FR107,64687.05,45000.0
FR108,44403.93,34700.0
FRB,84214.54,32600.0
FRB0,84214.54,32600.0
FRB01,8901.41,30000.0
FRB02,12567.4,29100.0
FRB03,5755.07,26800.0
FRB04,22097.28,35700.0
FRB05,10150.63,31000.0
FRB06,24742.75,35800.0
FRC,88180.4,31500.0
