municipality,airports,iso_country,iso_region,latitude_deg,longitude_deg
"Exeter, Devon",EGTE,GB,GB-ENG,50.734261,-3.413984
Fair Isle,EGEF,GB,GB-SCT,59.534721,-1.628509
"Fairford, Gloucestershire",EGVA,GB,GB-ENG,51.683568,-1.789172
Falconara Marittima (AN),LIPY,IT,IT-57,43.616299,13.3623
"Farnborough, Hampshire",EGLF,GB,GB-ENG,51.275799,-0.776333
Faro,LPFR,PT,PT-08,37.015909,-7.970939
Farranfore,EIKY,IE,IE-KY,52.180901,-9.52378
Feldkirchen bei Graz,LOWG,AT,AT-6,46.9911,15.4396
Ferno (VA),LIMC,IT,IT-25,45.6306,8.72811
Figari,LFKF,FR,FR-COR,41.50185,9.097092
Fingal,EIBB,IE,IE-D,53.505556,-6.237778
Firenze (FI),LIRQ,IT,IT-52,43.808558,11.202822
Firnplateau,LSVP,CH,CH-BE,46.468889,7.828333
Firnrand,LSYX,CH,CH-VS,45.9883,7.0425
Flensburg,EDXF,DE,DE-SH,54.773335,9.378889
Florø,ENFL,NO,NO-46,61.583599090576,5.0247201919556
Foggia (FG),LIBF,IT,IT-75,41.433596,15.534566
Forlì (FC),LIPK,IT,IT-45,44.194801,12.0701
Frankfurt am Main,EDDF,DE,DE-HE,50.026706,8.55835
Frankfurt am Main (Lautzenhausen),EDFH,DE,DE-RP,49.946353,7.261734
Friedrichshafen,EDNY,DE,DE-BW,47.671299,9.51149
Funchal,LPMA,PT,PT-30,32.697812,-16.774613
Førde,ENBL,NO,NO-46,61.391102,5.75694
GHISONACCIA,LFKG,FR,FR-COR,42.053387,9.400241
Gaillac,LFDG,FR,FR-OCC,43.8839,1.87556
Gaziantep,LTAJ,TR,TR-27,36.947201,37.478699
Gaziemir,LTBJ,TR,TR-35,38.2924,27.157
Gazipaşa,LTFG,TR,TR-07,36.299217,32.300598
Gdańsk,EPGD,PL,PL-PM,54.377602,18.4662
Geiteryggen,ENSN,NO,NO-40,59.185001,9.56694
Geneva,LSGG,CH,CH-GE,46.238098,6.10895
Genova (GE),LIMJ,IT,IT-42,44.412039,8.840732
Giebelstadt,EDQG,DE,DE-BY,49.6480560303,9.966388702390002
Gifhorn,EDVQ,DE,DE-NI,52.524677,10.462597
Girona,LEGE,ES,ES-CT,41.904639,2.761774
Glasgow,EGPF,GB,GB-SCT,55.871899,-4.43306
Goin,LFJL,FR,FR-GES,48.982101,6.25132
Gorna Oryahovitsa,LBGO,BG,BG-04,43.151402,25.7129
Gornji Humac,LDSB,HR,HR-17,43.284454,16.678362
Gorski Izvor,LBGI,BG,BG-26,42.035833,25.408333
Grafenwöhr,ETIC,DE,DE-BY,49.6987,11.9402
Gran Canaria Island,"GCLB, GCLP",ES,ES-CN,27.8571995,-15.4469
Granada,LEGR,ES,ES-AN,37.188702,-3.77736
"Grantham, Lincolnshire",EGYE,GB,GB-ENG,52.960616,-0.559428
Grat südlich Gipfel,LSYR,CH,CH-VS,46.060833,7.354722
Graulhet/Montdragon,LFCQ,FR,FR-OCC,43.771099,2.01083
"Great Yarmouth, Norfolk",EGSD,GB,GB-ENG,52.635576,1.723016
Grenoble,LFLS,FR,FR-ARA,45.3629,5.32937
Greven,EDDG,DE,DE-NW,52.133816,7.688482
"Grimsby, Lincolnshire",EGNJ,GB,GB-ENG,53.576152,-0.34954
Groningen,EHGG,NL,NL-DR,53.119107,6.577652
Grottaglie,LIBG,IT,IT-75,40.517502,17.4032
Grâce-Hollogne,EBLG,BE,BE-WLG,50.638574,5.443897
Győr,LHPR,HU,HU-GS,47.628436,17.804718
Gällivare,ESNG,SE,SE-BD,67.13240051269531,20.814599990844727
Gävle / Sandviken,ESSK,SE,SE-X,60.5933,16.951401
Gökçeada,LTFK,TR,TR-17,40.204498,25.883302
Göteborg,"ESGG, ESGP",SE,SE-Q,57.71875,12.075099999999999
Hadsel,ENSK,NO,NO-18,68.578827,15.033417
Hakkari,LTCW,TR,TR-30,37.5497,44.2381
Halmstad,ESMT,SE,SE-N,56.69110107421875,12.820199966430664
"Halton, Buckinghamshire",EGWN,GB,GB-ENG,51.790699,-0.737972
Hamar,ENHA,NO,NO-34,60.8181,11.068
Hamburg,"EDDH, EDHI",DE,DE-HH,53.58284016015625,9.91189301513672
Hammerfest,ENHF,NO,NO-56,70.679703,23.6686
Hannover,EDDV,DE,DE-NI,52.461102,9.68508
Hasvik,ENHK,NO,NO-56,70.486702,22.1397
Haverfordwest,EGFE,GB,GB-WLS,51.833099365234375,-4.9611101150512695
Hecklingen,EDBC,DE,DE-ST,51.8564,11.4203
Helgoland,EDXH,DE,DE-SH,54.18528,7.915833
Helsinki (Vantaa),EFHK,FI,FI-18,60.318363,24.963341
Hemavan,ESUT,SE,SE-AC,65.806099,15.0828
Heppenheim,EDEP,DE,DE-HE,49.621944,8.624444
Heraklion,LGIR,GR,GR-M,35.339699,25.1803
Herning,EKAB,DK,DK-82,56.011109,9.016041
Herrera de Pisuerga,LERP,ES,ES-CL,42.5923,-4.2902
Hoeven,EHSE,NL,NL-NB,51.554901,4.553003
Hof,EDQM,DE,DE-BY,50.288544,11.852876
Hondarribia,LESO,ES,ES-PV,43.356499,-1.79061
Honningsvåg,ENHV,NO,NO-56,71.009697,25.983601
"Hook, Hampshire",EGVO,GB,GB-ENG,51.2341,-0.942825
Horta,LPHR,PT,PT-20,38.519901275634766,-28.715900421142575
Hradec Králové,LKHK,CZ,CZ-KR,50.253201,15.8452
Hudiksvall,ESNH,SE,SE-X,61.768087,17.080715
"Huez, Isère",LFHU,FR,FR-ARA,45.087399,6.083604
Hultsfred,ESSF,SE,SE-H,57.525799,15.8233
Husum,EDXJ,DE,DE-SH,54.5099983215,9.13833332062
"Hyères, Var",LFTH,FR,FR-PAC,43.097301,6.14603
Hörselberg-Hainich,EDGE,DE,DE-TH,50.991604,10.47973
Iaşi,LRIA,RO,RO-IS,47.179633,27.621431
Ibiza (Eivissa),LEIB,ES,ES-IB,38.872898,1.37312
Idre,ESUE,SE,SE-W,61.869701,12.6894
Ikaria Island,LGIK,GR,GR-K,37.6827011108,26.3470993042
Ilinden,LWSK,MK,MK-008,41.958087,21.622581
Inis Meáin,EIMN,IE,IE-G,53.092999,-9.56806
Inis Mór,EIIM,IE,IE-G,53.1067008972168,-9.653610229492188
Inis Oírr,EIIR,IE,IE-G,53.064701,-9.5109
Innsbruck,LOWI,AT,AT-7,47.260201,11.344
Inverin,EICA,IE,IE-G,53.23030090332031,-9.467780113220217
Inverness,EGPE,GB,GB-SCT,57.5425,-4.0475
Ioannina,LGIO,GR,GR-D,39.6964,20.8225
Iserlohn,EDKS,DE,DE-NW,51.436389,7.699722
"Isle of Islay, Argyll and Bute",EGPI,GB,GB-SCT,55.682708,-6.257525
Isola di Capo Rizzuto (KR),LIBC,IT,IT-78,38.9972,17.0802
Isparta,LTFC,TR,TR-32,37.8554,30.368401
Istanbul,"LTBA, LTFJ, LTFM",TR,TR-34,41.048463,28.955016666666666
Ivalo,EFIV,FI,FI-10,68.6073,27.4053
Iğdır,LTCT,TR,TR-76,39.976627,43.876648
Jasionka,EPRZ,PL,PL-PK,50.109791,22.024155
Jerez de la Frontera,LEJR,ES,ES-AN,36.744598,-6.06011
Joensuu,EFJO,FI,FI-13,62.658815,29.619398
Juist,EDWJ,DE,DE-NI,53.681421,7.056398
Jyväskylän Maalaiskunta,EFJY,FI,FI-08,62.399502,25.678301
Jämsä,EFHA,FI,FI-08,61.856039,24.786686
Jönköping,ESGJ,SE,SE-F,57.757598876953125,14.068699836730955
Kahramanmaraş,LTCN,TR,TR-46,37.5388259888,36.9535217285
Kajaani,EFKI,FI,FI-05,64.2855,27.6924
Kalamata,LGKL,GR,GR-J,37.06829833984375,22.02549934387207
Kalmar,ESMQ,SE,SE-H,56.685501,16.2876
Kalymnos Island,LGKY,GR,GR-L,36.9632987976,26.9405994415
Karlovy Vary,LKKV,CZ,CZ-KA,50.202999,12.915
Karlskoga,ESKK,SE,SE-T,59.345901,14.4959
Karlstad,ESOK,SE,SE-S,59.444698,13.3374
Karmøy,ENHD,NO,NO-11,59.345299,5.20836
Karpathos Island,LGKP,GR,GR-L,35.421398,27.146
Kars,LTCF,TR,TR-36,40.562198638916016,43.1150016784668
Kartepe,LTBQ,TR,TR-41,40.735001,30.0833
Kasos Island,LGKS,GR,GR-L,35.4213981628,26.9099998474
Kastamonu,LTAL,TR,TR-37,41.314201,33.795799
Kastelorizo Island,LGKJ,GR,GR-L,36.141701,29.576401
Katowice,EPKT,PL,PL-SL,50.476015,19.080705
Kaunas,EYKA,LT,LT-KU,54.963965,24.08582
Kavala,LGKV,GR,GR-A,40.9133,24.6192
Kayseri,LTAU,TR,TR-38,38.770401,35.495399
Kałduny,EPBE,PL,PL-LD,51.402116,19.378239
Kefallinia Island,LGKF,GR,GR-F,38.12009811401367,20.500499725341797
Kemi / Tornio,EFKE,FI,FI-10,65.778701782227,24.582099914551
Kerkyra (Corfu),LGKR,GR,GR-F,39.60145,19.912179
"Kidlington, Oxfordshire",EGTK,GB,GB-ENG,51.836899,-1.32
Kiel,EDHK,DE,DE-SH,54.37957,10.145266
Kilkenny,EIKK,IE,IE-KK,52.65079879760742,-7.296110153198242
"King's Lynn, Norfolk",EGYM,GB,GB-ENG,52.648395,0.550692
Kirkenes,ENKR,NO,NO-56,69.7258,29.8913
"Kirkwall, Orkney Islands",EGPA,GB,GB-SCT,58.957903,-2.905077
Kiruna,ESNQ,SE,SE-BD,67.821999,20.3368
Kitee,EFIT,FI,FI-13,62.1661,30.073601
Kithira Island,LGKC,GR,GR-I,36.273978,23.016719
Kittilä,EFKT,FI,FI-10,67.700996,24.8468
Klagenfurt am Wörthersee,LOWK,AT,AT-2,46.642502,14.3377
Klanten flyplass,ENKL,NO,NO-33,60.791066,9.048672
Kokkola / Kruunupyy,EFKK,FI,FI-07,63.721199,23.143101
Komoča,LZKA,SK,SK-NJ,47.97054,18.040467
Konya,LTAN,TR,TR-42,37.979,32.561901
Kos Island,LGKO,GR,GR-L,36.794523,27.09115
Kozani,LGKZ,GR,GR-C,40.286098,21.840799
Košice,LZKZ,SK,SK-KI,48.663101,21.2411
Kristiansand(Kjevik),ENCN,NO,NO-42,58.204201,8.08537
Kristianstad,ESMK,SE,SE-M,55.9217,14.0855
Kuopio / Siilinjärvi,EFKU,FI,FI-15,63.007099,27.7978
Kuressaare,EEKE,EE,EE-74,58.22990036010742,22.50950050354004
Kuusamo,EFKS,FI,FI-14,65.987602,29.239401
Kvernberget,ENKB,NO,NO-15,63.111801,7.82452
Kärdla,EEKA,EE,EE-39,58.99079895019531,22.830699920654297
Köln (Cologne),EDDK,DE,DE-NW,50.865898,7.14274
Köthen (Anhalt),EDCK,DE,DE-ST,51.723745,11.948826
Kąkolewo,EPPG,PL,PL-WP,52.235001,16.243
L'Aquila,LIAP,IT,IT-65,42.379902,13.3092
"L'Hôpital-le-Mercier, Saône-et-Loire",LFLN,FR,FR-BFC,46.414019,4.014177
La Baule-Escoublac,LFRE,FR,FR-PDL,47.289398,-2.34639
La Chaux-de-Fonds,LSGC,CH,CH-NE,47.0839004517,6.792840003970001
La Hague,LFAU,FR,FR-NOR,49.622775,-1.830688
La Roche-sur-Yon,LFRI,FR,FR-PDL,46.7019,-1.37863
La Rochelle,LFBH,FR,FR-NAQ,46.179199,-1.19528
La Seu d'Urgell Pyrenees and Andorra,LESU,ES,ES-CT,42.3386,1.40917
La Tranche-sur-Mer,LFTA,FR,FR-PDL,46.363534,-1.427364
La Virgen Del Camino,LELN,ES,ES-CL,42.590709,-5.653406
Laage,ETNL,DE,DE-MV,53.918201,12.2783
Lahr/Schwarzwald,EDTL,DE,DE-BW,48.369301,7.82772
Lakselv,ENNA,NO,NO-56,70.068802,24.973499
Lamezia Terme (CZ),LICA,IT,IT-78,38.906214,16.246007
Lampedusa,LICD,IT,IT-82,35.497898,12.6181
"Lanas, Ardèche",LFHO,FR,FR-ARA,44.544367,4.372194
"Land's End, Cornwall",EGHC,GB,GB-ENG,50.102798,-5.67056
Langeoog,EDWL,DE,DE-NI,53.742379,7.496345
Lannion,LFRO,FR,FR-BRE,48.754398,-3.47166
Lappeenranta,EFLP,FI,FI-02,61.044601,28.144743
Larnaca,LCLK,CY,CY-04,34.875099,33.624901
"Laval, Mayenne",LFOV,FR,FR-PDL,48.032208,-0.743999
"Le Castellet, Var",LFMQ,FR,FR-PAC,43.252499,5.78519
Le Havre,LFOH,FR,FR-NOR,49.534038,0.088406
"Le Mans, Sarthe",LFRM,FR,FR-PDL,47.948604,0.201702
"Leeds, West Yorkshire",EGNM,GB,GB-ENG,53.865898,-1.66057
"Leicester, Leicestershire",EGBG,GB,GB-ENG,52.606574,-1.030226
Leiria,LPJF,PT,PT-10,39.779907,-8.820238
Leirvik,ENSO,NO,NO-46,59.791901,5.34085
Leixlip,EIWT,IE,IE-D,53.351622,-6.490357
Leknes,ENLK,NO,NO-18,68.152496337891,13.609399795532
Lelystad,EHLE,NL,NL-FL,52.453188,5.514622
Leros Island,LGLE,GR,GR-L,37.184898,26.800301
"Lerwick, Shetland",EGPB,GB,GB-SCT,59.878899,-1.29556
"Lerwick, Shetland Islands",EGET,GB,GB-SCT,60.1922,-1.24361
Les Allues,LFKX,FR,FR-ARA,45.407505,6.577597
Les Sables-d'Olonne,LFOO,FR,FR-PDL,46.476898,-1.72278
Lesquin,LFQQ,FR,FR-HDF,50.566564,3.102429
Levaldigi (CN),LIMZ,IT,IT-21,44.547458,7.623045
Lidköping,ESGL,SE,SE-Q,58.4655,13.1744
Liepāja,EVLA,LV,LV-112,56.517502,21.096901
Limerick,EICN,IE,IE-LK,52.6665,-8.68183
Limnos Island,LGLM,GR,GR-K,39.917098999,25.236299514799995
Limoges/Bellegarde,LFBL,FR,FR-NAQ,45.862801,1.17944
"Lincoln, Lincolnshire","EGNW, EGXC, EGXW",GB,GB-ENG,53.191966,-0.34651566666666667
Linköping,ESSL,SE,SE-E,58.404909,15.684499
Linz,"LOLO, LOWL",AT,AT-4,48.267703,14.260867000000001
Lisbon,LPPT,PT,PT-11,38.7813,-9.13592
Liverpool,EGGP,GB,GB-ENG,53.334863,-2.849637
Lleida,LEDA,ES,ES-CT,41.728185,0.535023
Locarno,LSZL,CH,CH-TI,46.160801,8.87861
London,"EGKB, EGKK, EGLC, EGLL",GB,GB-ENG,51.3638975257,-0.13946750029802502
"London, Essex",EGSS,GB,GB-ENG,51.884998,0.235
Longyearbyen,ENSB,NO,NO-21,78.246101,15.4656
Loreo (RO),LIDC,IT,IT-34,45.08608,12.161455
Lorient/Lann/Bihoué,LFRH,FR,FR-BRE,47.760601,-3.44
"Lossiemouth, Moray",EGQS,GB,GB-SCT,57.7052,-3.33917
Lublin,EPLB,PL,PL-LU,51.240157,22.713461
Luleå,ESPA,SE,SE-BD,65.5438,22.122
"Luton, Luton",EGGW,GB,GB-ENG,51.874699,-0.368333
Luxembourg,ELLX,LU,LU-L,49.626845,6.212134
Lycksele,ESNL,SE,SE-AC,64.548302,18.7162
Lärz,EDAX,DE,DE-MV,53.306389,12.752222
Læsø,EKLS,DK,DK-81,57.277199,11.0001
"Lépaud, Creuse",LFBK,FR,FR-NAQ,46.222599,2.36396
Lübeck,EDHL,DE,DE-SH,53.805401,10.7192
Maastricht,EHBK,NL,NL-LI,50.911087,5.769401
Madrid,"LECU, LEMD",ES,ES-MD,40.432053999999994,-3.6786944999999998
Mahón (Maó),LEMH,ES,ES-IB,39.862598,4.21865
Malatya,"LTAO, LTAT",TR,TR-44,38.39449895985,38.17244930165
Mali Lošinj,LDLO,HR,HR-08,44.566985,14.393883
Malmö,ESMS,SE,SE-M,55.535564,13.376327
"Manchester, Greater Manchester",EGCC,GB,GB-ENG,53.349375,-2.279521
Manching,ETSI,DE,DE-BY,48.7156982421875,11.534000396728516
Mannheim,EDFM,DE,DE-BW,49.473057,8.514167
Mardin,LTCR,TR,TR-47,37.2233009338,40.6316986084
Maribor,LJMB,SI,SI-160,46.4799,15.6861
Mariehamn,EFMA,FI,FI-01,60.1222,19.898199
"Marignane, Bouches-du-Rhône",LFML,FR,FR-PAC,43.438088,5.2125
"Marlow, Buckinghamshire",EGTB,GB,GB-ENG,51.61177,-0.808316
"Marzy, Nièvre",LFQG,FR,FR-BFC,47.002913,3.113114
Megève,LFHM,FR,FR-ARA,45.823005,6.649406
Mehamn,ENMH,NO,NO-56,71.029701,27.8267
Melilla,GEML,ES,ES-ML,35.2798,-2.95626
Memmingen,EDJA,DE,DE-BY,47.988092,10.238248
"Merville, Nord",LFQT,FR,FR-HDF,50.618401,2.64224
Mihail Kogălniceanu,LRTC,RO,RO-TL,45.0625,28.7143
Mikkeli,EFMI,FI,FI-04,61.6866,27.201799
Milos Island,LGML,GR,GR-L,36.696899,24.4769
Mnichovo Hradiště,LKMH,CZ,CZ-ST,50.540199,15.0066
Mo i Rana,ENRA,NO,NO-18,66.363899230957,14.301400184631
Monflorite/Alcalá del Obispo,LEHC,ES,ES-AR,42.076099,-0.316667
Montauban,LFDB,FR,FR-OCC,44.0257,1.37804
Montichiari (BS),LIPO,IT,IT-25,45.428902,10.3306
Montpellier/Méditerranée,LFMT,FR,FR-OCC,43.576199,3.96301
Mora,ESKM,SE,SE-W,60.957901,14.5114
Morlaix/Ploujean,LFRU,FR,FR-BRE,48.6031990051,-3.81577992439
Mosjøen,ENMS,NO,NO-18,65.783997,13.2149
Mošnov,LKMT,CZ,CZ-MO,49.696301,18.111099
Munich,EDDM,DE,DE-BY,48.353802,11.7861
Muş,LTCK,TR,TR-49,38.747798919677734,41.66120147705078
Mykonos,LGMK,GR,GR-L,37.435101,25.348101
Mytilene,LGMT,GR,GR-K,39.057406,26.598629
Málaga,LEMG,ES,ES-AN,36.6749,-4.49911
Målselv,ENDU,NO,NO-55,69.055801,18.5404
Mönchengladbach,EDLN,DE,DE-NW,51.230278,6.504444
Namsos,ENNM,NO,NO-50,64.472198,11.5786
Nantes,LFRS,FR,FR-PDL,47.153198,-1.61073
Napoli,LIRN,IT,IT-72,40.886002,14.2908
Naxos,LGNX,GR,GR-L,37.0811,25.368099
Nea Anchialos,LGBL,GR,GR-E,39.219601,22.7943
Neumünster,EDHN,DE,DE-SH,54.079445,9.941389
Neustadt,EDAI,DE,DE-BR,52.826668,12.541944
Nevşehir,LTAZ,TR,TR-50,38.7719,34.5345
"Newark on Trent, Nottinghamshire",EGXY,GB,GB-ENG,53.0228,-0.911111
"Newcastle upon Tyne, Tyne and Wear",EGNT,GB,GB-ENG,55.037958,-1.689577
Newquay,EGHQ,GB,GB-ENG,50.440601,-4.99541
"Newtownards, Ards and North Down",EGAD,GB,GB-NIR,54.5811,-5.69194
"Nice, Alpes-Maritimes",LFMN,FR,FR-PAC,43.658401,7.21587
Niort/Souché,LFBN,FR,FR-NAQ,46.313477,-0.394529
Nobitz,EDAC,DE,DE-TH,50.981945,12.506389
Norddeich,EDWS,DE,DE-NI,53.633057,7.190278
Norderney,EDWY,DE,DE-NI,53.706944,7.23
Norrköping,ESSP,SE,SE-E,58.586299896240234,16.250600814819336
North Connel,EGEO,GB,GB-SCT,56.463501,-5.39967
North Ronaldsay,EGEN,GB,GB-SCT,59.3675003052,-2.43443989754
"Northampton, Northamptonshire",EGBK,GB,GB-ENG,52.305302,-0.793056
"Northolt, Greater London",EGWU,GB,GB-ENG,51.553001,-0.418167
"Norwich, Norfolk",EGSH,GB,GB-ENG,52.6758,1.28278
Notodden,ENNO,NO,NO-40,59.565071,9.213152
"Nottingham, Leicestershire",EGNX,GB,GB-ENG,52.8311,-1.32806
"Nottingham, Nottinghamshire",EGBN,GB,GB-ENG,52.919998,-1.07917
Nowe Kramsko,EPZG,PL,PL-LB,52.1385,15.7986
Nowy Dwór Mazowiecki,EPMO,PL,PL-MZ,52.451099,20.6518
Nuremberg,EDDN,DE,DE-BY,49.498699,11.078056
Nyköping,ESKN,SE,SE-D,58.789656,16.911479
Nyland,ESNK,SE,SE-Y,63.048599,17.7689
Nîmes/Garons,LFTW,FR,FR-OCC,43.757401,4.41635
Oberer Firnrand,LSYI,CH,CH-GL,46.810556,8.967778
Odense,EKOD,DK,DK-83,55.475307,10.327206
Oesterdeichstrich,EDXB,DE,DE-SH,54.153332,8.901667
Ohrid,LWOH,MK,MK-003,41.18,20.7423
Olbia (SS),LIEO,IT,IT-88,40.898953,9.518457
Olomouc,LKOL,CZ,CZ-OL,49.587712,17.209275
Oostende,EBOS,BE,BE-VWV,51.1998,2.874673
Oradea,LROD,RO,RO-BH,47.025299,21.9025
Ordu,LTCB,TR,TR-52,40.966872,38.085995
Orio al Serio (BG),LIME,IT,IT-25,45.669362,9.708851
Oristano,LIER,IT,IT-88,39.895308,8.642661
Osijek(Klisa),LDOS,HR,HR-14,45.462355,18.811278
Oskarshamn,ESMO,SE,SE-H,57.350498,16.497999
Oslo,ENRY,NO,NO-31,59.378817,10.785439
Oslo (Gardermoen),ENGM,NO,NO-32,60.193901,11.1004
Otopeni,LROP,RO,RO-IF,44.571792,26.103285
Oulu / Oulunsalo,EFOU,FI,FI-14,64.930099,25.354601
Pajala,ESUP,SE,SE-BD,67.244569,23.074894
Palanga,EYPA,LT,LT-KL,55.973202,21.093901
Palermo,"LICJ, LICP",IT,IT-82,38.145959,13.202185
Palma de Mallorca,LEPA,ES,ES-IB,39.551701,2.73881
Pamplona,LEPP,ES,ES-NC,42.77,-1.64633
Pantelleria (TP),LICG,IT,IT-82,36.816502,11.9689
"Papa Westray, Orkney Islands",EGEP,GB,GB-SCT,59.351012,-2.900353
Paphos,LCPH,CY,CY-06,34.717999,32.485699
Pardubice,LKPD,CZ,CZ-PA,50.015049,15.73981
Paris,"LFAT, LFPB, LFPG, LFPO",FR,FR-HDF,49.3032125,2.247938
Parma (PR),LIMP,IT,IT-45,44.826351,10.29705
Paros,LGPA,GR,GR-L,37.020495,25.113195
Patras,LGRX,GR,GR-G,38.1511,21.4256
Pau/Pyrénées (Uzein),LFBP,FR,FR-NAQ,43.380001,-0.418611
Peenemünde,EDCP,DE,DE-MV,54.15778,13.774444
Perpignan/Rivesaltes,LFMP,FR,FR-OCC,42.740398,2.87067
"Perth, Perth and Kinross",EGPT,GB,GB-SCT,56.439201,-3.37222
Perugia (PG),LIRZ,IT,IT-55,43.095901,12.5132
Pescara,LIBP,IT,IT-65,42.431079,14.182981
"Peterborough, Cambridgeshire","EGSF, EGXT",GB,GB-ENG,52.540350000000004,-0.363782
"Pewsey, Wiltshire",EGDJ,GB,GB-ENG,51.28657,-1.782239
Pico Island,LPPI,PT,PT-20,38.554298,-28.441299
Piešťany,LZPP,SK,SK-TA,48.62519836425781,17.828399658203125
Pisa (PI),LIRP,IT,IT-52,43.683899,10.3927
Plateau nördlich Planurahütte,LSVD,CH,CH-GL,46.821944,8.880277
Plovdiv,LBPD,BG,BG-16,42.067799,24.8508
Plzen,LKLN,CZ,CZ-PL,49.675201,13.2746
Poitiers/Biard,LFBI,FR,FR-NAQ,46.5877,0.306666
"Pommeuse, Seine-et-Marne",LFPK,FR,FR-IDF,48.839602,3.008653
Ponta Delgada,LPPD,PT,PT-20,37.7411994934,-25.6979007721
Ponte de Sor,LPSO,PT,PT-12,39.211545,-8.057787
Poprad,LZTT,SK,SK-PV,49.070994,20.241394
Pori,EFPO,FI,FI-17,61.4617,21.799999
Portimão,LPPM,PT,PT-08,37.1493,-8.58396
Porto,LPPR,PT,PT-13,41.2481002808,-8.68138980865
Poznań,EPPO,PL,PL-WP,52.421598,16.823359
Prague,LKPR,CZ,CZ-PR,50.100874,14.259911
Praia da Vitória,LPLA,PT,PT-20,38.761799,-27.090799
"Prestwick, South Ayrshire",EGPK,GB,GB-SCT,55.501499,-4.577182
Preveza,LGPZ,GR,GR-D,38.925499,20.765301
Propriano,LFKO,FR,FR-COR,41.660599,8.88975
Pula,LDPL,HR,HR-18,44.893501,13.9222
Pärnu,EEPU,EE,EE-67,58.41899871826172,24.47279930114746
Pécs,LHPP,HU,HU-BA,45.988891,18.242044
Périgueux/Bassillac,LFBX,FR,FR-NAQ,45.198101,0.815556
Quimper/Pluguffan,LFRQ,FR,FR-BRE,47.973031,-4.169655
Quinto,LSPM,CH,CH-TI,46.512501,8.68978
Radom,EPRA,PL,PL-MZ,51.38937,21.214742
Ranón,LEAS,ES,ES-AS,43.563599,-6.03462
Ravenna (RA),LIDR,IT,IT-45,44.364291,12.224996
Recea,LRTM,RO,RO-MS,46.467701,24.4125
"Redhill, Surrey",EGKR,GB,GB-ENG,51.2136,-0.138611
Reggio Calabria,LICR,IT,IT-78,38.071201,15.6516
Reggio Emilia (RE),LIDE,IT,IT-45,44.698039,10.664885
"Retford, Nottinghamshire",EGNE,GB,GB-ENG,53.280602,-0.951389
Reus,LERS,ES,ES-CT,41.147509,1.168354
Rheinmünster,EDSB,DE,DE-BW,48.7794,8.0805
Rhodes,LGRP,GR,GR-L,36.405399,28.086201
Rickenbach,EDSF,DE,DE-BW,47.6333,7.9412
Riesa,EDAU,DE,DE-SN,51.29361,13.356111
Riga,"EVRA, EVRS",LV,LV-062,56.955926000000005,24.022856
Rijeka(Omišalj),LDRI,HR,HR-08,45.216376,14.57085
Rimini (RN),LIPR,IT,IT-45,44.020024,12.612198
Rize,LTFO,TR,TR-53,41.179766,40.848802
Rochefort/Saint-Agnant,LFDN,FR,FR-NAQ,45.887798,-0.983056
"Rochester, Kent",EGTO,GB,GB-ENG,51.351898,0.503333
Rodez/Marcillac,LFCR,FR,FR-OCC,44.407902,2.48267
Rome,"LIRA, LIRF",IT,IT-62,41.8016505,12.423664500000001
"Romford, Greater London",EGSG,GB,GB-ENG,51.6525,0.155833
"Romney Marsh, Kent",EGMD,GB,GB-ENG,50.956246,0.939074
Ronchi dei Legionari/Trieste,LIPQ,IT,IT-36,45.827499,13.4722
Ronneby,ESDF,SE,SE-K,56.266701,15.265
Roskilde,EKRK,DK,DK-85,55.585602,12.1314
Rota,LERT,ES,ES-AN,36.645198822,-6.34946012497
Rotterdam,EHRD,NL,NL-ZH,51.956902,4.43722
Rovaniemi,EFRO,FI,FI-10,66.563327,25.829751
Royan/Médis,LFCY,FR,FR-NAQ,45.628101,-0.9725
Rudniki,EPRU,PL,PL-SL,50.884716,19.201842
Råda,ESOH,SE,SE-S,60.0201,13.5789
Rødby,EKMB,DK,DK-85,54.699447,11.438163
Rønne,EKRN,DK,DK-84,55.063301,14.7596
Røros,ENRO,NO,NO-50,62.578399658203,11.342300415039
Rørvik,ENRM,NO,NO-50,64.838302612305,11.14610004425
Røst,ENRS,NO,NO-18,67.526482,12.101575
Saarbrücken,EDDR,DE,DE-SL,49.217562,7.111667
Saare,EELU,EE,EE-57,59.02211,23.57808
Saint-Aubin-sur-Scie,LFAB,FR,FR-NOR,49.884662,1.08101
Saint-Bon,LFLJ,FR,FR-ARA,45.397531,6.63498
Saint-Christophe (AO),LIMW,IT,IT-23,45.738552,7.3683
"Saint-Denis-de-l'Hôtel, Loiret",LFOZ,FR,FR-CVL,47.897758,2.164478
"Saint-Jacques-de-la-Lande, Ille-et-Vilaine",LFRN,FR,FR-BRE,48.0695,-1.73479
Saint-Léger-sur-Roanne,LFLO,FR,FR-ARA,46.053818,3.999023
Saint-Nazaire/Montoir,LFRZ,FR,FR-PDL,47.31142,-2.152634
Saint-Tropez,LFTZ,FR,FR-PAC,43.205399,6.482
Salamanca,LESA,ES,ES-CL,40.952099,-5.50199
Salerno,LIRI,IT,IT-72,40.620399,14.9113
Salzburg,LOWS,AT,AT-5,47.793301,13.0043
Samedan,LSZS,CH,CH-GR,46.5341,9.88411
Samos Island,LGSM,GR,GR-K,37.689999,26.911699
Samsun,LTFH,TR,TR-55,41.253988,36.567546
