municipality,airports,iso_country,iso_region,latitude_deg,longitude_deg
Venegono Superiore (VA),LILN,IT,IT-25,45.742199,8.888233
Venezia (VE),LIPZ,IT,IT-34,45.505299,12.3519
Ventspils,EVVA,LV,LV-VEN,57.3578,21.544201
Vercelli (VC),LILI,IT,IT-21,45.311111,8.4175
Vienna,LOWW,AT,AT-9,48.110298,16.5697
Vigo,LEVX,ES,ES-GA,42.2318,-8.62677
Vila Baleira,LPPS,PT,PT-30,33.0733985901,-16.3500003815
Vila Real,LPVR,PT,PT-17,41.2743,-7.72047
Vila do Porto,LPAZ,PT,PT-20,36.97140121459961,-25.17060089111328
Vilhelmina,ESNV,SE,SE-AC,64.579102,16.833599
Villanova d'Albenga (SV),LIMG,IT,IT-42,44.050598,8.12743
Vilnius,EYVI,LT,LT-VL,54.634102,25.285801
Visby,ESSV,SE,SE-I,57.6628,18.346201
Viseu,LPVZ,PT,PT-18,40.725498,-7.88899
Vodochody,LKVO,CZ,CZ-ST,50.216599,14.3958
Vyskov,LKVY,CZ,CZ-JM,49.300301,17.025299
Västervik,ESSW,SE,SE-H,57.779999,16.5236
Växjö,ESMX,SE,SE-G,56.929100036621094,14.727999687194824
"Wallingford, Oxfordshire",EGUB,GB,GB-ENG,51.614366,-1.095991
Wangerooge,EDWG,DE,DE-NI,53.782544,7.919584
Warsaw,"EPBC, EPWA",PL,PL-MZ,52.217449,20.9371515
Warton,EGNO,GB,GB-ENG,53.745098,-2.88306
Waterford,EIWF,IE,IE-WD,52.187199,-7.08696
Weert,EHBD,NL,NL-NB,51.255299,5.60139
Weeze,EDLV,DE,DE-NW,51.601362,6.141228
West of Mutthorn hut,LSYK,CH,CH-BE,46.485833,7.828333
"Westray, Orkney Islands",EGEW,GB,GB-SCT,59.350475,-2.950062
Wevelgem,EBKT,BE,BE-VWV,50.818878,3.209551
Weßling,EDMO,DE,DE-BY,48.081402,11.2831
"Whalsay, Shetlands",EGEH,GB,GB-SCT,60.376835,-0.927229
Wick,EGPC,GB,GB-SCT,58.4589,-3.09306
Wiener Neustadt,"LOAN, LOXN",AT,AT-3,47.8401165,16.2409685
Wilhelmshaven,EDWI,DE,DE-NI,53.50222,8.052222
"Woking, Surrey",EGTF,GB,GB-ENG,51.348099,-0.558889
"Wolverhampton, Staffordshire",EGBO,GB,GB-ENG,52.517502,-2.25944
Wrocław,EPWR,PL,PL-DS,51.103719,16.882096
Wurster Nordseeküste,ETMN,DE,DE-NI,53.767689,8.659201
Wutöschingen,EDTA,DE,DE-BW,47.6509,8.3867
Wyk auf Föhr,EDXY,DE,DE-SH,54.684444,8.528333
Yenişehir,LTBR,TR,TR-16,40.255199,29.562599
"Yeovil, Somerset",EGDY,GB,GB-ENG,51.009399,-2.63882
Zadar,LDZD,HR,HR-13,44.096986,15.353565
Zakynthos,LGZA,GR,GR-F,37.7509,20.8843
Zaragoza,LEZG,ES,ES-AR,41.666199,-1.04155
Zaventem,EBBR,BE,BE-VBR,50.901402,4.48444
Zgornji Brnik,LJLJ,SI,SI-012,46.223701,14.4576
Zirchow,EDAH,DE,DE-MV,53.8787,14.1523
Zonguldak,LTAS,TR,TR-67,41.506401,32.0886
Zurich,LSZH,CH,CH-ZH,47.458056,8.548056
Zweibrücken,EDRZ,DE,DE-RP,49.2094,7.40056
Ängelholm,ESTA,SE,SE-M,56.29610061645508,12.847100257873535
Ålesund,ENAL,NO,NO-15,62.560443,6.110845
