id1,id2,weight,distance,pct_lufthansa_group,pct_air_france_klm_group,pct_iag_group,pct_nordic_legacy,pct_mediterranean_legacy,pct_turkish_and_south_east_legacy,pct_ryanair_group,pct_easyjet_group,pct_wizz_group,pct_other_low_cost_leisure,pct_cargo,pct_other_specialized,pct_narrowbody_airbus,pct_narrowbody_boeing,pct_widebody,pct_regional,pct_business_jet,operator_coverage,aircraft_coverage,log_total_flights,log_unique_callsigns
"Alicante, ES","Edinburgh, GB",26,1975.6799999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.3076923076923077,0.0,0.23076923076923078,0.0,0.0,0.34782608695652173,0.6521739130434783,0.0,0.0,0.0,1.0,0.8846153846153846,3.295836866004329,1.9459101490553132
"Alicante, ES","Eindhoven, NL",47,1535.7599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.44680851063829785,0.0,0.0,0.5531914893617021,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.871201010907891,2.302585092994046
"Alicante, ES","Manchester, Greater Manchester, GB",84,1680.5700000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.3333333333333333,0.0,0.25,0.0,0.0,0.5070422535211268,0.49295774647887325,0.0,0.0,0.0,1.0,0.8452380952380952,4.442651256490317,3.1780538303479458
"Alicante, ES","Luton, Luton, GB",41,1511.49,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.7,0.0,0.15,0.0,0.0,0.8108108108108109,0.16216216216216217,0.0,0.0,0.02702702702702703,0.975609756097561,0.9024390243902439,3.7376696182833684,2.302585092994046
"Alicante, ES","Belfast, GB",32,1865.1600000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.4375,0.0,0.125,0.0,0.0,0.5384615384615384,0.46153846153846156,0.0,0.0,0.0,1.0,0.8125,3.4965075614664802,2.3978952727983707
"Alicante, ES","Madrid, ES",67,359.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.45161290322580644,0.016129032258064516,0.45161290322580644,0.08064516129032258,0.014925373134328358,0.9253731343283582,4.219507705176107,2.8903717578961645
"Alicante, ES","Bristol, GB",53,1466.4,0.0,0.0,0.0,0.0,0.0,0.0,0.37735849056603776,0.5283018867924528,0.0,0.09433962264150944,0.0,0.0,0.6222222222222222,0.37777777777777777,0.0,0.0,0.0,1.0,0.8490566037735849,3.9889840465642745,2.4849066497880004
"Alicante, ES","Palma de Mallorca, ES",44,318.2300000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.625,0.0,0.0,0.23809523809523808,0.7619047619047619,0.0,0.0,0.0,0.36363636363636365,0.9545454545454546,3.8066624897703196,2.1972245773362196
"Alicante, ES","Birmingham, West Midlands, GB",41,1578.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5121951219512195,0.1951219512195122,0.0,0.2926829268292683,0.0,0.0,0.5882352941176471,0.4117647058823529,0.0,0.0,0.0,1.0,0.8292682926829268,3.7376696182833684,2.3978952727983707
"Alicante, ES","Nottingham, Leicestershire, GB",26,1618.8499999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9615384615384616,3.295836866004329,2.1972245773362196
"Alicante, ES","Stockholm, SE",29,2698.53,0.0,0.0,0.0,0.5294117647058824,0.0,0.0,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.36,0.64,0.0,0.0,0.0,0.5862068965517241,0.8620689655172413,3.4011973816621555,2.3978952727983707
"Alicante, ES","Warsaw, PL",26,2271.35,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.52,0.0,0.0,0.0,0.5263157894736842,0.42105263157894735,0.05263157894736842,0.0,0.0,0.9615384615384616,0.7307692307692307,3.295836866004329,2.0794415416798357
"Alicante, ES","Charleroi, BE",36,1410.9900000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4444444444444444,3.6109179126442243,2.0794415416798357
"Alicante, ES","Oslo (Gardermoen), NO",40,2570.41,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.6111111111111112,0.0,0.0,0.0,0.35,0.9,3.713572066704308,2.70805020110221
"Alicante, ES","Glasgow, GB",21,1977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.42857142857142855,0.0,0.0,0.35294117647058826,0.6470588235294118,0.0,0.0,0.0,1.0,0.8095238095238095,3.091042453358316,2.3978952727983707
"Alicante, ES","Ferno (VA), IT",24,1119.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.8181818181818182,0.0,0.0,0.0,0.8333333333333334,0.9166666666666666,3.2188758248682006,1.9459101490553132
