from_id,to_id,weight,distance
"Amsterdam, NL","Belfast, GB",14,759.8099999999998
"Amsterdam, NL","Zaventem, BE",29,157.65999999999997
"Amsterdam, NL","Düsseldorf, DE",33,178.33999999999997
"Amsterdam, NL","Luxembourg, LU",28,314.94999999999993
"Amsterdam, NL","London, GB",244,341.41
"Amsterdam, NL","Cork, IE",14,906.11
"Amsterdam, NL","Paris, FR",92,378.01
"Amsterdam, NL","Caselle Torinese (TO), IT",12,818.0
"Amsterdam, NL","Kristiansand(Kjevik), NO",12,688.31
"Amsterdam, NL","Hamburg, DE",34,372.79
"Amsterdam, NL","Zurich, CH",73,603.4699999999999
"Amsterdam, NL","Luton, Luton, GB",40,353.85
"Amsterdam, NL","Málaga, ES",45,1883.6599999999999
"Amsterdam, NL","Edinburgh, GB",39,666.36
"Amsterdam, NL","Cardiff, GB",14,565.67
"Amsterdam, NL","Frankfurt am Main, DE",64,366.48
"Amsterdam, NL","Parma (PR), IT",2,925.61
"Amsterdam, NL","Marignane, Bouches-du-Rhône, FR",17,986.92
"Amsterdam, NL","Balice, PL",28,1073.59
"Amsterdam, NL","Segrate (MI), IT",67,831.08
"Amsterdam, NL","Dublin, IE",86,749.71
"Amsterdam, NL","Oslo (Gardermoen), NO",48,959.18
"Amsterdam, NL","Munich, DE",70,664.17
"Amsterdam, NL","Madrid, ES",71,1468.5799999999997
"Amsterdam, NL","Liverpool, GB",12,523.89
"Amsterdam, NL","Bergen, NO",26,888.31
"Amsterdam, NL","Bremen, DE",20,283.48
"Amsterdam, NL","Darlington, Durham, GB",13,477.65999999999997
"Amsterdam, NL","Copenhagen, DK",78,633.38
"Amsterdam, NL","Norwich, Norfolk, GB",20,239.17
"Amsterdam, NL","Southend-on-Sea, Essex, GB",6,290.79
"Amsterdam, NL","Seville, ES",16,1852.07
"Amsterdam, NL","Bucharest, RO",34,1786.58
"Amsterdam, NL","Tallinn, EE",14,1471.8700000000001
"Amsterdam, NL","Alicante, ES",26,1613.15
"Amsterdam, NL","Leeds, West Yorkshire, GB",16,462.46
"Amsterdam, NL","Stuttgart, DE",26,511.01
"Amsterdam, NL","Warsaw, PL",51,1098.43
"Amsterdam, NL","Toulouse/Blagnac, FR",22,997.47
"Amsterdam, NL","Valencia, ES",16,1481.12
"Amsterdam, NL","Funchal, PT",9,2783.52
"Amsterdam, NL","Velika Gorica, HR",8,1098.85
"Amsterdam, NL","Geneva, CH",50,681.99
"Amsterdam, NL","Pisa (PI), IT",4,1045.71
"Amsterdam, NL","Porto, PT",26,1594.97
"Amsterdam, NL","Nice, Alpes-Maritimes, FR",11,978.8600000000001
"Amsterdam, NL","Salzburg, AT",15,772.63
"Amsterdam, NL","Billund, DK",34,477.25
"Amsterdam, NL","Aberdeen, GB",28,703.2699999999999
"Amsterdam, NL","Vilnius, LT",12,1377.4399999999998
"Amsterdam, NL","Istanbul, TR",64,2213.33
"Amsterdam, NL","Saint-Jacques-de-la-Lande, Ille-et-Vilaine, FR",5,659.99
"Amsterdam, NL","Göteborg, SE",27,760.16
"Amsterdam, NL","Bordeaux, FR",19,923.65
"Amsterdam, NL","Stockholm, SE",60,1142.3699999999997
"Amsterdam, NL","Lisbon, PT",32,1846.2999999999997
"Amsterdam, NL","Poznań, PL",9,817.97
"Amsterdam, NL","Southampton, GB",16,448.49
"Amsterdam, NL","Farnborough, Hampshire, GB",2,397.85
"Amsterdam, NL","Vienna, AT",42,959.4800000000001
"Amsterdam, NL","Newcastle upon Tyne, Tyne and Wear, GB",31,521.9799999999999
"Amsterdam, NL","Barcelona, ES",74,1241.14
"Amsterdam, NL","Manchester, Greater Manchester, GB",66,486.92
"Amsterdam, NL","Riga, LV",17,1337.18
"Amsterdam, NL","Helsinki (Vantaa), FI",33,1521.36
"Amsterdam, NL","Valletta, MT",8,1984.49
"Amsterdam, NL","Colombier-Saugnieu, Rhône, FR",27,732.34
"Amsterdam, NL","Rome, IT",41,1302.7699999999998
"Amsterdam, NL","Gdańsk, PL",14,936.62
"Amsterdam, NL","Bristol, GB",36,523.83
"Amsterdam, NL","Hannover, DE",20,334.36
"Amsterdam, NL","Nantes, FR",20,733.2700000000001
"Amsterdam, NL","Prague, CZ",45,705.0
"Amsterdam, NL","Budapest, HU",22,1156.58
"Amsterdam, NL","Berlin, DE",41,593.4
"Amsterdam, NL","Bologna, IT",20,988.46
"Amsterdam, NL","Trondheim, NO",12,1290.68
"Amsterdam, NL","Stavanger, NO",19,732.3800000000001
"Amsterdam, NL","Mönchengladbach, DE",2,169.46
"Amsterdam, NL","Exeter, Devon, GB",7,591.89
"Amsterdam, NL","Zgornji Brnik, SI",7,974.43
"Amsterdam, NL","Glasgow, GB",24,717.96
"Amsterdam, NL","Firenze (FI), IT",11,1058.4
"Amsterdam, NL","Faro, PT",12,1969.82
"Amsterdam, NL","Nuremberg, DE",27,541.6
"Amsterdam, NL","Spata-Artemida, GR",19,2181.75
"Amsterdam, NL","Linköping, SE",12,965.29
"Amsterdam, NL","Wilhelmshaven, DE",3,257.35
"Amsterdam, NL","Thessaloniki, GR",6,1904.79
"Amsterdam, NL","Gran Canaria Island, ES",2,3192.84
"Amsterdam, NL","Tarbes/Lourdes/Pyrénées, FR",1,1075.44
"Amsterdam, NL","Innsbruck, AT",19,733.08
"Amsterdam, NL","Wrocław, PL",10,844.6699999999998
"Amsterdam, NL","Genova (GE), IT",7,927.9
"Amsterdam, NL","Groningen, NL",2,151.81
"Amsterdam, NL","Inverness, GB",6,808.5300000000001
"Amsterdam, NL","Palma de Mallorca, ES",7,1426.97
"Amsterdam, NL","Ibiza (Eivissa), ES",5,1516.6600000000003
"Amsterdam, NL","Orio al Serio (BG), IT",1,821.24
"Andrézieux-Bouthéon, Loire, FR","Madrid, ES",1,861.49
"Angers, FR","Bern, CH",1,593.84
"Annecy, FR","Aix en Provence, FR",1,275.53
"Antalya, TR","Stockholm, SE",2,2677.16
"Antalya, TR","Istanbul, TR",196,488.2
"Antalya, TR","Tymbou (Kirklar), CY",27,311.30999999999995
"Antalya, TR","Dresden, DE",3,2077.9
"Antalya, TR","Newcastle upon Tyne, Tyne and Wear, GB",4,3172.24
"Antalya, TR","Frankfurt am Main, DE",8,2298.23
"Antalya, TR","Nuremberg, DE",4,2114.06
"Antalya, TR","Leeds, West Yorkshire, GB",2,3115.55
"Antalya, TR","Hannover, DE",8,2387.12
"Antalya, TR","Düsseldorf, DE",19,2478.71
"Antalya, TR","Paris, FR",3,2673.52
"Antalya, TR","Billund, DK",2,2650.92
"Antalya, TR","Bristol, GB",3,3082.36
"Antalya, TR","Birmingham, West Midlands, GB",6,3060.36
"Antalya, TR","Zurich, CH",9,2165.34
"Antalya, TR","London, GB",20,2913.1099999999997
"Antalya, TR","Manchester, Greater Manchester, GB",11,3130.5199999999995
"Antalya, TR","Stuttgart, DE",9,2182.41
"Antalya, TR","Köln (Cologne), DE",8,2432.08
"Antalya, TR","Southend-on-Sea, Essex, GB",2,2868.58
"Antalya, TR","Hamburg, DE",6,2454.52
"Antalya, TR","Munich, DE",9,2000.9299999999998
"Antalya, TR","Luton, Luton, GB",6,2949.1
"Antalya, TR","Copenhagen, DK",5,2489.08
"Antalya, TR","Vienna, AT",8,1701.9299999999998
"Antalya, TR","Berlin, DE",7,2185.92
"Antwerp, BE","Valencia, ES",1,1356.52
"Antwerp, BE","Hamburg, DE",1,455.31
"Antwerp, BE","Stuttgart, DE",1,439.51
"Antwerp, BE","Málaga, ES",4,1763.33
"Antwerp, BE","Geneva, CH",4,563.74
"Antwerp, BE","St. Gallen, CH",4,553.09
"Arvidsjaur, SE","Stuttgart, DE",3,1969.08
"Arvidsjaur, SE","Hannover, DE",1,1555.66
"Arvidsjaur, SE","Köln (Cologne), DE",2,1777.6
"Arvidsjaur, SE","Munich, DE",3,1966.4399999999998
"Augsburg, DE","Marignane, Bouches-du-Rhône, FR",8,708.91
"Augsburg, DE","Maribor, SI",1,417.72
"Augsburg, DE","Hamburg, DE",2,577.9
"Augsburg, DE","Bucharest, RO",1,1236.9
"Augsburg, DE","Toussus-le-Noble, Yvelines, FR",3,649.77
"Augsburg, DE","Berlin, DE",1,474.05
"Augsburg, DE","Schkeuditz, DE",1,345.83
"Avignon, FR","Geneva, CH",2,275.95
"Avignon, FR","Lesquin, FR",1,752.77
"Bacău, RO","Luton, Luton, GB",3,2055.66
"Bacău, RO","Zaventem, BE",1,1708.38
"Badajoz, ES","Madrid, ES",10,318.9
"Badajoz, ES","Tenerife, ES",2,1479.01
"Balice, PL","Oslo (Gardermoen), NO",13,1250.58
"Balice, PL","Zurich, CH",9,872.5
"Balice, PL","Copenhagen, DK",16,779.35
"Balice, PL","Alicante, ES",9,2074.3000000000006
"Balice, PL","Munich, DE",12,611.42
"Balice, PL","Amsterdam, NL",27,1073.59
"Balice, PL","Porto, PT",5,2401.17
"Balice, PL","London, GB",41,1398.3299999999997
"Balice, PL","Málaga, ES",9,2445.63
"Balice, PL","Dublin, IE",13,1820.41
"Balice, PL","Beauvais, FR",8,1268.1600000000003
"Balice, PL","Newcastle upon Tyne, Tyne and Wear, GB",7,1545.34
"Balice, PL","Belfast, GB",5,1814.1799999999998
"Balice, PL","Luton, Luton, GB",19,1420.3800000000003
"Balice, PL","Stavanger, NO",5,1333.62
"Balice, PL","Geneva, CH",2,1098.54
"Balice, PL","Valletta, MT",13,1639.0
"Balice, PL","Colombier-Saugnieu, Rhône, FR",2,1194.89
"Balice, PL","Larnaca, CY",3,2028.9000000000003
"Balice, PL","Vienna, AT",14,320.34999999999997
"Balice, PL","Valencia, ES",5,1975.4299999999998
"Balice, PL","Orio al Serio (BG), IT",16,896.0899999999999
"Balice, PL","Sandefjord(Torp), NO",11,1181.42
"Balice, PL","Luxembourg, LU",2,973.03
"Balice, PL","Pescara, IT",2,952.47
"Balice, PL","Bologna, IT",6,887.86
"Balice, PL","Warsaw, PL",47,251.13000000000002
"Balice, PL","Helsinki (Vantaa), FI",5,1184.29
"Balice, PL","Memmingen, DE",5,733.11
"Balice, PL","Capannori (LU), IT",1,984.34
"Balice, PL","Jasionka, PL",1,159.78
"Balice, PL","Bournemouth, GB",4,1528.28
"Balice, PL","Frankfurt am Main, DE",26,800.8
"Balice, PL","Birmingham, West Midlands, GB",15,1515.37
"Balice, PL","Szymany, PL",2,386.74
"Balice, PL","Barcelona, ES",20,1679.8399999999997
"Balice, PL","Paris, FR",23,1261.5099999999998
"Balice, PL","Palermo, IT",6,1425.6500000000003
"Balice, PL","Eindhoven, NL",10,1023.22
"Balice, PL","Ronchi dei Legionari/Trieste, IT",3,666.15
"Balice, PL","Manchester, Greater Manchester, GB",15,1556.24
"Balice, PL","Vilnius, LT",4,629.09
"Balice, PL","Edinburgh, GB",14,1670.98
"Balice, PL","Bristol, GB",13,1584.06
"Balice, PL","Rome, IT",22,1080.87
"Balice, PL","Paphos, CY",4,1994.94
"Balice, PL","Thessaloniki, GR",4,1091.38
"Balice, PL","Ferno (VA), IT",9,960.3999999999999
"Balice, PL","Bucharest, RO",7,778.16
"Balice, PL","Leeds, West Yorkshire, GB",10,1521.58
"Balice, PL","Göteborg, SE",6,987.06
"Balice, PL","Shannon, IE",7,1999.68
"Balice, PL","Istanbul, TR",10,1229.95
"Balice, PL","Stockholm, SE",9,1054.45
