icao,callsign,count
4ca9c3,RYR51SY,1
48520d,TRA26F,1
4cae49,RYR51SY,1
4854cd,TRA6A,1
484506,TRA26F,1
484506,TRA6A,1
4ca243,RYR51SY,1
4cad11,RYR51SY,1
48414d,TRA26F,1
48414d,TRA6A,1
48520c,TRA6A,1
484c59,TRA26F,1
4ca854,RYR51SY,1
4cadf2,RYR13ZD,1
4d207c,RYR48DL,1
344216,AEA17SB,1
347309,AEA54HL,1
347306,AEA17SB,2
347481,AEA54HL,1
34604d,AEA54HL,1
346183,VLG3FW,1
348208,VLG3FW,1
344459,AEA17SB,1
34750a,AEA54HL,1
346083,AEA54HL,1
34258f,VLG3FW,1
48c130,RYR48DL,1
347307,AEA17SB,1
34750a,AEA17SB,1
345218,AEA54HL,1
4ca854,RYR48DL,1
348207,VLG3FW,1
3453c1,AEA54HL,1
34604d,AEA17SB,1
342398,VLG3FW,1
4d207c,RYR9WL,1
48c1a5,RYR32LL,1
4cae90,RYR32LL,1
4d2217,RYR32LL,1
4cae49,RYR32LL,1
4caf27,RYR9WL,1
4d2236,RYR32LL,1
4caf35,RYR32LL,1
4cae54,RYR32LL,1
347696,VLG7VK,1
39de47,TVF44ZT,1
39de4a,TVF4705,1
3444ca,VLG5CX,1
34454a,VLG5CX,1
3472c3,VLG7VK,1
34768f,VLG7VK,1
343046,VLG5CX,1
34768f,VLG5CX,2
39de45,TVF85NQ,1
3430cc,VLG7VK,1
39de53,TVF44ZT,1
347690,VLG7VK,1
347690,VLG5CX,1
39de48,TVF85NQ,1
3430cc,VLG5CX,1
345206,VLG7VK,1
39de4d,TVF44ZT,1
3964ec,TVF44ZT,1
3964ea,TVF85NQ,1
342398,VLG8318,1
3424d4,VLG7VK,1
347696,VLG41PY,1
44d1c2,JAF1YA,1
34768d,VLG58FB,1
485061,TRA91J,1
34768e,VLG41PY,1
44cc43,BEL5VB,1
44cc42,BEL5VB,1
44d1a5,JAF1YA,1
39d30d,TRA91J,3
44d1a7,JAF1YA,1
345107,VLG41PY,1
485122,TRA9X,1
3424d4,VLG41PY,4
44cdc6,BEL5VB,1
4854c7,TRA91J,1
449682,JAF1YA,2
39d308,TRA91J,2
44a838,JAF1YA,1
3424d4,VLG58FB,1
44ce6c,BEL1WW,1
484186,TRA9X,1
44d1a2,JAF9CH,1
44d1a2,JAF1YA,1
44d076,BEL5VB,2
449682,JAF9CH,1
34768e,VLG58FB,1
4d236c,RYR24VB,1
4cad11,RYR24VB,1
4d240e,EWG77BA,1
4ca621,RYR83ZU,1
3cea40,QAJ1,6
4caf27,RYR24VB,1
4cadf2,RYR24VB,1
4d226e,RYR83ZU,1
3c5eea,EWG77BA,1
4d2304,RYR24VB,1
4cad12,RYR83ZU,1
4d22c1,RYR83ZT,1
4cac84,RYR83ZT,1
4d22ad,RYR17JU,1
4d22b6,RYR83ZT,1
4d22ba,RYR83ZT,1
4d248d,WZZ6VR,2
48c26c,RYR660C,1
48c225,RYR660C,2
48c26c,RYR87JP,1
484b6e,TRA77Q,1
484f6d,TRA39U,1
39a054,ARL563Y,2
484f6c,TRA39U,2
484c9b,TRA77Q,1
484f6d,TRA77Q,1
48520c,TRA39U,1
4853d2,TRA77Q,1
4853d3,TRA39U,1
484186,TRA77Q,1
484b6e,TRA39U,1
4854cf,TRA77Q,1
485123,TRA77Q,1
3443d3,VLG57HZ,1
48520b,TRA94A,1
34768d,VLG1377,2
48683e,TRA29Q,1
4854cf,TRA21Q,2
485009,TRA29Q,1
4867b0,TRA21Q,2
4868b9,TRA21Q,1
348204,VLG1377,3
4867b0,TRA29Q,1
48683e,TRA21Q,1
485123,TRA29Q,1
345108,VLG57HZ,2
4868ba,TRA29Q,1
486804,KLM1540,1
48520d,TRA21Q,1
345108,VLG1377,1
48663e,TRA61Z,1
3451d3,VLG1377,1
486494,KLM1540,1
48683e,TRA94A,1
4cac24,RYR96KY,1
4cae60,RYR464Q,1
4cade4,RYR96KY,1
4cadc2,RYR96KY,1
4cad11,RYR96KY,1
4cae49,RYR96KY,1
4ca7b6,RYR464Q,1
48c130,RYR52BR,1
4cad2b,RYR96KY,1
4cae4c,RYR464Q,1
4ca854,RYR96KY,1
4cad3f,RYR464Q,1
3443d1,VLG3YF,1
34768d,VLG42VA,3
345359,VLG79XJ,2
342582,VLG8GY,1
347601,VLG26YA,1
344644,VLG8GY,1
3443d3,VLG3YF,1
347696,VLG91TT,1
347696,VLG3YF,2
344697,VLG26YA,1
348204,VLG91TT,1
342397,VLG26YA,1
344694,VLG404P,1
34768e,VLG8GY,1
34538d,VLG79XJ,1
345043,VLG79XJ,1
347690,VLG91TT,2
345107,VLG8GY,2
348204,VLG42VA,2
346692,VLG26YA,1
342398,VLG3YF,1
344691,VLG26YA,1
345107,VLG77BP,1
347690,VLG8GY,1
346691,VLG26YA,1
342396,VLG42VA,1
348204,VLG3YF,1
345108,VLG91TT,1
345116,VLG9XJ,1
345084,VLG77BP,1
344158,VLG8GY,1
3c4b4c,EWG5JM,1
3c49d5,EWG5JM,1
3c4b4e,EWG5JM,1
3c5ee3,EWG5JM,1
3c4906,EWG5JM,1
4aca0b,NSZ37A,2
4cad11,RYR67AU,1
4cae75,SAS2814,1
4cadb8,RYR67AU,1
4aca92,NSZ5372,1
4aca46,NSZ5372,1
4acaa3,SAS2814,1
4d2387,RYR67AU,1
4aca4f,NSZ5372,1
4aca46,NSZ37A,2
4cad87,SAS2814,1
4cad91,SAS37Y,1
4d2271,RYR67AU,1
4caf7e,SAS2814,1
44d1c2,JAF2YH,1
44b438,JAF2YH,3
449682,JAF9AT,1
449683,JAF2YH,1
348404,ECONU,1
4ca24f,RYR225J,1
4ca569,RYR225J,1
4cad2b,RYR225J,1
4d2212,RYR225J,1
345597,ANE3007,1
3e4719,PAV651,3
4cadf2,RYR225J,1
44ce78,BEL5VB,1
44cdc5,BEL5VB,1
4d23fc,RYR8524,1
4cae90,RYR50YU,1
4d2346,RYR50YU,1
4d2346,RYR8524,1
