id,name,iso_country,iso_region,latitude,longitude,airports,airports_count,nut3_code,node_type,node_degree,out_flights_number,in_flights_number
"Tenerife, ES",Tenerife,ES,ES-CN,28.263626000000002,-16.457103500000002,"GCTS, GCXO",2,,,301,61,240
"Valletta, MT",Valletta,MT,MT-25,35.845932,14.491546,LMML,1,,,1041,514,527
"Groningen, NL",Groningen,NL,NL-DR,53.119107,6.577652,EHGG,1,,,48,22,26
"Ferno (VA), IT",Ferno (VA),IT,IT-25,45.6306,8.72811,LIMC,1,,,2419,1213,1206
"Billund, DK",Billund,DK,DK-83,55.740335,9.157019,EKBI,1,,,423,212,211
"Paris, FR",Paris,FR,FR-HDF,49.3032125,2.247938,"LFAT, LFPB, LFPG, LFPO",4,,,7975,3968,4007
"La Virgen Del Camino, ES",La Virgen Del Camino,ES,ES-CL,42.590709,-5.653406,LELN,1,,,20,11,9
"Kiruna, SE",Kiruna,SE,SE-BD,67.821999,20.3368,ESNQ,1,,,16,1,15
"Nottingham, Nottinghamshire, GB","Nottingham, Nottinghamshire",GB,GB-ENG,52.919998,-1.07917,EGBN,1,,,5,3,2
"Rhodes, GR",Rhodes,GR,GR-L,36.405399,28.086201,LGRP,1,,,83,29,54
"Düsseldorf, DE",Düsseldorf,DE,DE-NW,51.289501,6.76678,EDDL,1,,,1738,856,882
"Mahón (Maó), ES",Mahón (Maó),ES,ES-IB,39.862598,4.21865,LEMH,1,,,46,20,26
"Weßling, DE",Weßling,DE,DE-BY,48.081402,11.2831,EDMO,1,,,82,41,41
"Staverton, Gloucestershire, GB","Staverton, Gloucestershire",GB,GB-ENG,51.894199,-2.16722,EGBJ,1,,,27,15,12
"Toussus-le-Noble, Yvelines, FR","Toussus-le-Noble, Yvelines",FR,FR-IDF,48.7519,2.10619,LFPN,1,,,59,30,29
"Linköping, SE",Linköping,SE,SE-E,58.404909,15.684499,ESSL,1,,,36,19,17
"Castres, FR",Castres,FR,FR-OCC,43.556301,2.28918,LFCK,1,,,22,11,11
"Málaga, ES",Málaga,ES,ES-AN,36.6749,-4.49911,LEMG,1,,,2354,1172,1182
"Rotterdam, NL",Rotterdam,NL,NL-ZH,51.956902,4.43722,EHRD,1,,,289,140,149
"Melilla, ES",Melilla,ES,ES-ML,35.2798,-2.95626,GEML,1,,,84,34,50
"Poznań, PL",Poznań,PL,PL-WP,52.421598,16.823359,EPPO,1,,,363,182,181
"Odense, DK",Odense,DK,DK-83,55.475307,10.327206,EKOD,1,,,8,4,4
"Lincoln, Lincolnshire, GB","Lincoln, Lincolnshire",GB,GB-ENG,53.191966,-0.34651566666666667,"EGXC, EGXW",2,,,7,4,3
"Linz, AT",Linz,AT,AT-4,48.267703,14.260867000000001,LOWL,1,,,82,43,39
"Feldkirchen bei Graz, AT",Feldkirchen bei Graz,AT,AT-6,46.9911,15.4396,LOWG,1,,,162,82,80
"Villanova d'Albenga (SV), IT",Villanova d'Albenga (SV),IT,IT-42,44.050598,8.12743,LIMG,1,,,8,4,4
"Győr, HU",Győr,HU,HU-GS,47.628436,17.804718,LHPR,1,,,14,8,6
"Umeå, SE",Umeå,SE,SE-AC,63.791801,20.282801,ESNU,1,,,7,0,7
"Romney Marsh, Kent, GB","Romney Marsh, Kent",GB,GB-ENG,50.956246,0.939074,EGMD,1,,,6,3,3
"Nice, Alpes-Maritimes, FR","Nice, Alpes-Maritimes",FR,FR-PAC,43.658401,7.21587,LFMN,1,,,636,216,420
"Mytilene, GR",Mytilene,GR,GR-K,39.057406,26.598629,LGMT,1,,,82,38,44
"Esbjerg, DK",Esbjerg,DK,DK-83,55.525902,8.5534,EKEB,1,,,9,4,5
"La Roche-sur-Yon, FR",La Roche-sur-Yon,FR,FR-PDL,46.7019,-1.37863,LFRI,1,,,4,3,1
"Napoli, IT",Napoli,IT,IT-72,40.886002,14.2908,LIRN,1,,,139,2,137
"Rodez/Marcillac, FR",Rodez/Marcillac,FR,FR-OCC,44.407902,2.48267,LFCR,1,,,28,14,14
"Orio al Serio (BG), IT",Orio al Serio (BG),IT,IT-25,45.669362,9.708851,LIME,1,,,1134,578,556
"Kavala, GR",Kavala,GR,GR-A,40.9133,24.6192,LGKV,1,,,18,7,11
"Foggia (FG), IT",Foggia (FG),IT,IT-75,41.433596,15.534566,LIBF,1,,,23,11,12
"Mošnov, CZ",Mošnov,CZ,CZ-MO,49.696301,18.111099,LKMT,1,,,63,30,33
"Saarbrücken, DE",Saarbrücken,DE,DE-SL,49.217562,7.111667,EDDR,1,,,28,13,15
"Pau/Pyrénées (Uzein), FR",Pau/Pyrénées (Uzein),FR,FR-NAQ,43.380001,-0.418611,LFBP,1,,,84,42,42
"Burbach, DE",Burbach,DE,DE-NW,50.707699,8.08297,EDGS,1,,,5,3,2
"Schkeuditz, DE",Schkeuditz,DE,DE-SN,51.420657,12.232705,EDDP,1,,,755,367,388
"Samsun, TR",Samsun,TR,TR-55,41.253988,36.567546,LTFH,1,,,6,2,4
"Cork, IE",Cork,IE,IE-CO,51.841301,-8.49111,EICK,1,,,327,164,163
"Perpignan/Rivesaltes, FR",Perpignan/Rivesaltes,FR,FR-OCC,42.740398,2.87067,LFMP,1,,,39,18,21
"Clermont-Ferrand, FR",Clermont-Ferrand,FR,FR-ARA,45.786701,3.16917,LFLC,1,,,42,30,12
"Bucharest, RO",Bucharest,RO,RO-B,44.537462500000004,26.1031145,"LRBS, LROP",2,,,1401,685,716
"Karmøy, NO",Karmøy,NO,NO-11,59.345299,5.20836,ENHD,1,,,28,0,28
"Loreo (RO), IT",Loreo (RO),IT,IT-34,45.08608,12.161455,LIDC,1,,,4,1,3
"Southend-on-Sea, Essex, GB","Southend-on-Sea, Essex",GB,GB-ENG,51.570562,0.693627,EGMC,1,,,96,46,50
"Inverness, GB",Inverness,GB,GB-SCT,57.5425,-4.0475,EGPE,1,,,124,65,59
"Turku, FI",Turku,FI,FI-19,60.514099,22.2628,EFTU,1,,,48,29,19
"Bacău, RO",Bacău,RO,RO-BC,46.5219,26.910299,LRBC,1,,,28,7,21
"Recea, RO",Recea,RO,RO-MS,46.467701,24.4125,LRTM,1,,,12,3,9
"Bologna, IT",Bologna,IT,IT-45,44.5354,11.2887,LIPE,1,,,898,446,452
"Pisa (PI), IT",Pisa (PI),IT,IT-52,43.683899,10.3927,LIRP,1,,,316,185,131
"Edinburgh, GB",Edinburgh,GB,GB-SCT,55.950145,-3.372288,EGPH,1,,,1671,839,832
"Saint-Léger-sur-Roanne, FR",Saint-Léger-sur-Roanne,FR,FR-ARA,46.053818,3.999023,LFLO,1,,,1,0,1
"Tours, Indre-et-Loire, FR","Tours, Indre-et-Loire",FR,FR-CVL,47.432201,0.727606,LFOT,1,,,9,7,2
"Trabzon, TR",Trabzon,TR,TR-61,40.995098,39.7897,LTCG,1,,,180,85,95
"Jönköping, SE",Jönköping,SE,SE-F,57.757598876953125,14.068699836730955,ESGJ,1,,,11,7,4
"Exeter, Devon, GB","Exeter, Devon",GB,GB-ENG,50.734261,-3.413984,EGTE,1,,,67,35,32
"Hof, DE",Hof,DE,DE-BY,50.288544,11.852876,EDQM,1,,,6,5,1
"Gdańsk, PL",Gdańsk,PL,PL-PM,54.377602,18.4662,EPGD,1,,,408,254,154
"Weert, NL",Weert,NL,NL-NB,51.255299,5.60139,EHBD,1,,,14,7,7
"St. Gallen, CH",St. Gallen,CH,CH-SG,47.485001,9.56077,LSZR,1,,,157,77,80
"Geneva, CH",Geneva,CH,CH-GE,46.238098,6.10895,LSGG,1,,,2788,1403,1385
"Norwich, Norfolk, GB","Norwich, Norfolk",GB,GB-ENG,52.6758,1.28278,EGSH,1,,,92,46,46
"Košice, SK",Košice,SK,SK-KI,48.663101,21.2411,LZKZ,1,,,97,48,49
"Rheinmünster, DE",Rheinmünster,DE,DE-BW,48.7794,8.0805,EDSB,1,,,84,61,23
